ticket_text,category,priority
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  GROUPS J / MA-PRICING     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [USERNAME]. [NAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: 0  Cost Center: 47050  Function:[LOCATION]Consultant  Company: [COMPANY]  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 18 2018 12:00AM     Additional information:  [EMAIL],Support general,Medium
[TICKET ID] - New Support Ticket received  - Acesso skype,O365,Medium
[TICKET ID] - New Support Ticket received  - REINSTALACION DE ESCANER,Computer-Services,Medium
Adicionar usuário ao servidor[LOCATION]para o MarketingAdicionar usuário ao servidor[LOCATION]para o Marketing,Support general,Medium
Basis User - [USERNAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  44257  Company:  [COMPANY] .  Department:  [COMPANY]_[SERVER]  Street:  [ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:    Office:       Important: Please set the EA10 to the following value: 7607 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date:  Feb  1 2019 12:00AM     Additional information:,Support general,Medium
Light User for external - [USERNAME] - [USERNAME]. Service Request: Light User for external  Create Light user for [USERNAME].    Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 44288  Function: Vigilant  Company: [COMPANY]  Department: [ADDRESS].  ZIP:[LOCATION][ADDRESS]  City: [ADDRESS] - MG  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 22 2018  3:00AM     Additional information:,Support general,Medium
[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME].  ([COMPANY]. [LOCATION]),Support general,Medium
Need Nautilus and the Nautilus Citrix appI need the nautilus 9.3 software and the Nautilus 9.3 Citrix app installed on my PC.  This may have to go through [COMPANY] for approval.  Please contact [NAME] if you need further information.,Software,Medium
[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME] [NAME] ([COMPANY]. [LOCATION]),Support general,Medium
[TICKET ID] - [SERVER][LOCATION]- Planned Maintenance - 2018-10-27. 07:00[LOCATION]| cpe0009469 ([COMPANY]) | cpe0013003 ([COMPANY]) [COMPANY] SE. Rückmeldungen erforderlich.,Support general,Medium
[TICKET ID] - New Support Ticket received  - Configuración perfil [NAME],Active Directory,Medium
[TICKET ID] - A Support Ticket was forwarded to you  - Impresoras mal funcionamiento,Computer-Services,Medium
Check[LOCATION]for One Drive ([SERVER]-TEST),Active Directory,Medium
File Share Access - [TICKET ID] - [NAME]. ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME]dria ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    J:/MarkerDB       The user needs access to the Marker Database.   Thanks        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Basis User - [TICKET ID] - [USERNAME]. ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME]. ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [USERNAME]  Cost Center:  174430  Company:  [COMPANY] [ADDRESS] GmbH  Department:  [ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 13740 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 31 2019 12:00AM     Additional information:   Startdatum: 01.02.2019,Support general,Medium
[TICKET ID] - New Support Ticket received  - Building 6 Fishbowl Printer,Computer-Services,Medium
SR290626 Leaving employee: The user [NAME] ([COMPANY]; [LOCATION]) is going to leave [COMPANY] on 02;01;2018,Active Directory,Medium
[TICKET ID] - New Support Ticket received  - equipo no inicia,Support general,Medium
[TICKET ID] - New Support Ticket received  - Erro de Impressão,Computer-Services,Medium
Basis User - [TICKET ID] - [NAME]. ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME]. ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  174454  Company:  [COMPANY] Berlin GmbH  Department:  GTC-PP1  [ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 13588 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  1 2019 12:00AM     Additional information:   Liebes [COMPANY]-Team.   Laptop. Bildschirm. Tastatur. Telefon. Headset bitte aus Gerätepool Berlin. falls vorhanden  Tastatur und Laptop bitte englische,Support general,Medium
[TICKET ID] - New information received on closed ticket  - Initiated by [COMPANY][LOCATION]- Vulnerable Office on [SERVER],Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to you  - Abrir mi correo [COMPANY] en PC de otro usuario,O365,Medium
File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    J:/CLC-Server   J:/CS-MED   J:/Geldokumentation   J:/MOL_Service   J:/Mol_Tech           Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Basis User - [TICKET ID] - [NAME] [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  44288  Company:  Riber - [COMPANY] S.A.  Department:  [COMPANY]_MA-[ADDRESS] – KM 428 a direita + 2 KM – Zona Rural.  ZIP: [LOCATION][ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 10166 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 23 2019  3:00AM     Additional information:,Support general,Medium
[TICKET ID] - New Support Ticket received  - cuenta bloqueada,Active Directory,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Skype not working in Several computers,O365,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - alterar nome de sala de reunião exchange,O365,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - VM for Bank program,Support general,Medium
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [USERNAME]. [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 44258  Function: Exeternal sales agent  Company: [COMPANY] Italia S.p.A.  Department: [SERVER]-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 18 2018 12:00AM     Additional information:,Support general,Medium
File Share Access - [TICKET ID] - [USERNAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/Topf- und Substratbestellungen     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  J:/Topf- und Substratbestellungen,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - IPad Pro,Support general,Medium
[TICKET ID] - New Support Ticket received  - Duplicação de tela,Support general,Medium
File Share Access - [TICKET ID] - [USERNAME]. ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. Renee ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  I need access to J:/CONSTRUCTION     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  I need access to J:/CONSTRUCTION,Fileservice,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname: [NAME]  Cost Center:  44265  Company:  [COMPANY] Seme YU D.O.O.  Department:  [COMPANY]_MA-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13745 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] (EXTERNAL. [LOCATION])     Desired date:  Jan 23 2019 12:00AM     Additional information:,Support general,Medium
[TICKET ID] - New Support Ticket received  - User Ricard needs credentials in order to log into [NAME].,Software,Medium
[TICKET ID] - New Support Ticket received  - no internet,Support general,Medium
OneDrive nao configuraOi. meu onedrive nao configura (mas email e skype ta ok). Podem ajudar por favor?        [Image],O365,Medium
Check DNS/DHCP entries for network 10.10.89.0 - server networkCheck DNS/DHCP entries for network 10.10.89.0 - server network,Support general,Medium
[TICKET ID] - New Support Ticket received  - Can not connect to [URL],Support general,Medium
File Share Access - [TICKET ID] - [USERNAME].[NAME]([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME].[NAME]([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/LSB Deutschland     Requestor: [USERNAME].[NAME]([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Shakopee Employees Distribution List,O365,Medium
[TICKET ID] - New Support Ticket received  - Access to R drive for team member,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Proxy Error,Support general,Medium
[TICKET ID] - New Support Ticket received  - Malfunction [SERVER],Computer-Services,Medium
Acesso a pasta do servidor de PatosCaros.        Estou novamente com o problema de acesso às pastas do drive J:. Por favor. seguir com os acessos idênticos ao do usuário da [NAME]  [NAME] ([EMAIL])        Desde já agradeço        [Image],Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Skype uninstall and reinstall,O365,Medium
[TICKET ID] - New Support Ticket received  - File Share Access - [TICKET ID] - [NAME] [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Shared email address request,O365,Medium
Remove File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Remove File Share Access     Remove file share access for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  File Share:  - GROUPS (J:) ZR-SP - GROUPS (J:) ZR-SV - GROUPS(J:) ZRMUSTER     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Basis User - [TICKET ID] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  44254  Company:    Department:  [ADDRESS]:    ZIP:    City:    Country:    Office:       Important: Please set the EA10 to the following value: 13663 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  6 2019 12:00AM     Additional information:,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Activación Skype en perfil [NAME],O365,Medium
Light User - [USERNAME] -Service Request: Light User  Create Light user for      Firstname: [NAME]  Lastname: [NAME]  Cost Center: 47046  Company: [COMPANY] Consulting   Department: GIT-EST  [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: Germany  Office:      Important: Please set the EA10 to the following value: [EMAIL]  (leave blank. when empty)     Desired date: Sep  4 2018 12:00AM     Requestor: [NAME] ([COMPANY]. [LOCATION])     Additional information:  Bitte auf die Kostenstelle 44220 buchen.,Active Directory,Medium
File Share Access - [TICKET ID] - [USERNAME]. Wiebke ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. Wiebke ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/Topf- und Substratbestellungen     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  J:/Topf- und Substratbestellungen,Fileservice,Medium
[TICKET ID] - New information received on closed ticket  - LH - [SERVER] OS Updates,Support general,Medium
Neuer Nutzer f�r Email User Gruppe,O365,Medium
Basis User - [TICKET ID] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME] Center:  44295  Company:    Department:  MOM_ADM-[ADDRESS]:    ZIP:    City:    Country:    Office:       Important: Please set the EA10 to the following value: 13713 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. ESBA)     Desired date:  Jan  9 2019 12:00AM     Additional information:,Support general,Medium
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]. [USERNAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: 0  Cost Center: 47050  Function:[LOCATION]Consultant  Company: [COMPANY]  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 18 2018 12:00AM     Additional information:  [EMAIL],Support general,Medium
Missing group in AD,Active Directory,Medium
[TICKET ID] - New information received on closed ticket  - desconexion del VPN,Support general,Medium
[TICKET ID] - New Support Ticket received  - Erro no site da RFB,Support general,Medium
Basis User - [USERNAME] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  44286  Company:    Department:  [LOCATION]  Street:  [ADDRESS] grande – Piura - Piura  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Peru  Office:       Important: Please set the EA10 to the following value: [USERNAME] (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 16 2019  4:00AM     Additional information:   dear all.  please. create the AD as [USERNAME] and mail account as [EMAIL]  thank you very much,Support general,Medium
Light User for external - [TICKET ID] - [USERNAME]. [NAME]Service Request: Light User for external  Create Light user for [USERNAME]. [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]                            Cost Center: 47050  Function: Externer Berater  Company: [COMPANY] GmbH  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Jun 30 2019 11:00PM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan 22 2019 12:00AM     Additional information:  [NAME] arbeitet an der WM Lösung für Serbien und muss dafür auf die SCP.  VG [NAME],Support general,Medium
[TICKET ID] - New Support Ticket received  - espelhamento de usuario,Active Directory,Medium
Basis User for external - [TICKET ID] - [NAME]. OlgaService Request: Basis User for external     Create Windows account for external user  [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 44263  Function: Payroll outsource specialist  Company: [COMPANY]  Department: [COMPANY]_ADM-[ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 29 2018 10:00PM     Additional information:,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Leaving Employee - [TICKET ID] - [NAME] (External. [LOCATION]),Support general,Medium
File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      J:/CE-STA/      please create the folder if it does not yet exist and give R/W access for this and all subfolders.        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Contacts are gone on iPhone 5,Support general,Medium
[TICKET ID] - New Support Ticket received  - Instalaçao d e programa,Software,Medium
[TICKET ID] - New Support Ticket received  - unable to log into skype,O365,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/ÖFZFOX/MOM-OSR     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Printing error,Computer-Services,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Access to Team Email in Outlook,O365,Medium
conta de serviço o365Olá.  Gostaria de solicitar a criação de uma conta de serviço no O365 para que usassemos nas impressoras. para que elas façam o scan to email.  Aproveitando. pode acrescentar nesse ticket se precisa ser feito alguma alteração na impressora em si.  Como: servidro SMTP. servidor DNS. SSL. email usado. etc.,O365,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  -[LOCATION]account locked,Software,Medium
[TICKET ID] - New information received on closed ticket  - Initiated by [COMPANY][LOCATION]- Vulnerable[LOCATION]on [LOCATION]-[ADDRESS],Support general,Medium
Delete the system,Active Directory,Medium
[TICKET ID] - New Support Ticket received  - Atualização SICALC,Software,Medium
[TICKET ID] - New information received on closed ticket  - [NAME] iPhone BlackBerry app launches. then quits immediately,Support general,High
[TICKET ID] - New Support Ticket received  - Mobile Device - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Support general,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  79099  Company:  [COMPANY] Seed Co.[LOCATION] Department:  [LOCATION]  Street:    ZIP:    City:    Country:    Office: [LOCATION]    Important: Please set the EA10 to the following value: [EMAIL] (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Dec 12 2018  5:00PM     Additional information:   Dear colleagues:  Please help me create account for new JV internal employee.  She is belong to[LOCATION]Group. Her mailbox include @[EMAIL] and @[EMAIL] Thank you  First Name: [NAME]  Last Name: [NAME]  Gender: Female  Telephone:[PHONE]  Place: [ADDRESS]  ZIP: [ADDRESS]  Country: China  Company: [COMPANY][LOCATION]CO.. LTD.  Department : Financial  Function:[LOCATION]Accountant,Support general,Medium
Union Equipos al Dominio,Active Directory,Medium
[TICKET ID] - New Support Ticket received  - Skype sem acesso,O365,Medium
Light User for external - [TICKET ID] - [NAME] Service Request: Light User for external  Create Light user for [USERNAME]                           Firstname: [NAME]                        Lastname: [NAME]                                  Mailaddress: [EMAIL]                                      Phone: [PHONE]                                              Cost Center: 32151  Function: Support  Company: [COMPANY] Einsteinstr. 8. [ADDRESS]  Department: [ADDRESS]-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan  8 2019 12:00AM     Additional information:,Support general,Medium
File Share Access - [TICKET ID] - [NAME].[NAME]([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME].[NAME]([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/GMO-DECLARATIONS_MA     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Deactivate email address: [EMAIL],Active Directory,Medium
File Share Access - [TICKET ID] - [USERNAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RO) Read only  File Share:  J:/ZR_MAS     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  Nadj  Cost Center:  44265  Company:  [COMPANY] Seme YU D.O.O.  Department:  [COMPANY]_MA-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13315 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] (EXTERNAL. [LOCATION])     Desired date:  Sep  3 2018 12:00AM     Additional information:  [LOCATION]Emloyee!  !!!! She also need mobile device accounts only - for A6 and iPad with [COMPANY] CRM. but this options are not existing in the Matrix shop!!!!,Active Directory,Medium
new computer,Active Directory,Medium
Cancelamento Usuário e Acessos Glauco Santos BahiaPor gentileza efetuar o cancelamento do usuário do Glauco Santos Bahia e criar aliás para e-mail do [NAME]. conforme termo em anexo.  Obrigada!,Active Directory,Medium
Basis User for external - [USERNAME] - [NAME]. [NAME]Service Request: Basis User for external     Create Windows account for external user  [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 44293  Function: Controlling Temp  Company: [COMPANY]  Department: [COMPANY]_CT  Street: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan  9 2019  7:00AM     Additional information:,Support general,Medium
[TICKET ID] - New information received on closed ticket  - Atualizar o programa Receira BX,Software,Medium
Zugriff auf[LOCATION]Server von einem anderen[LOCATION]ServerHallo Zusammen.      vom [IP] gibt es keinen keinen Zugriff auf den Port 443 (https) des [IP]. Die andere Richtung funktioniert. Für das Geoprocessing (eine Webapplikation) brauchen wir aber eine beidseitige Kommunikation auf die https-Ports des Applikationservers und des Geoprocessing-Servers.      Können Sie bitte den Zugriff vom IP] auf den Port 443 (https) des [IP]  freischalten?                Danek udn Viele Grüße  [NAME],Support general,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: )  Access Type: (RW) Read / Write  File Share:    J:/Stundenbuecher  J:/WST-ALLG       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME]. [NAME] ([COMPANY]. [LOCATION]),Support general,Medium
[TICKET ID] - New Support Ticket received  - Impressora com atolamento de papel,Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - Light House - Missing Updates,Support general,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/ÖFZFOX/MOM-OSR     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - check_mk SD Hostalarm: ([SERVER]) [COMPANY] LS Site2Site[LOCATION]- UP -> DOWN,Support general,High
[TICKET ID] - A Support Ticket was forwarded to your role  - Create[LOCATION]entry [SERVER]m.[COMPANY]up.ads.dir,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Instalación de software,Software,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Displaynamen für generische Email-Adressen anpassen,O365,Medium
[TICKET ID] - New Support Ticket received  - BarTender app,Software,Medium
[TICKET ID] - New Support Ticket received  - emails sent from GTC-TR mailbox appear in personal sent items instead GTC-TR sent items,O365,Medium
[TICKET ID] - New Support Ticket received  - My computer is not connecting to the network when it is out of the docking station.,Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - BD[LOCATION]Computer,Fileservice,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME] Center:  44278  Company:  [COMPANY]  Department:  [ADDRESS]-MOM_BR-[ADDRESS]:  [ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:    Office:       Important: Please set the EA10 to the following value: 12661 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 10 2019 12:00AM     Additional information:,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Nutzer zu bestehenden Shared Mailboxen hinzufügen,O365,Medium
Basis User for external - [TICKET ID] - [NAME]Service Request: Basis User for external     Create Windows account for external user  [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]   Phone: [PHONE]  Cost Center: 44281  Function: IT provider  Company:[LOCATION] Department: [ADDRESS]/ [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country:   Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan  4 2019 12:00AM     Additional information:  Please. could you create the adm user [USERNAME] in[LOCATION]OU with the same rights as admpearce.,Support general,Medium
[TICKET ID] - New Support Ticket received  - File Share Access - [TICKET ID] - [NAME]. ([COMPANY]. [LOCATION]),Fileservice,Medium
File Share Access - [TICKET ID] - [USERNAME]. ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:        J:[COMPANY]_[COMPANY]    J:IT-ILV    Zugriff app22 share            Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
